"","x","y"
"1",1811,1061
"2",1681,1056
"3",1411,451
"4",471,666
"5",216,541
"6",666,1086
"7",601,1666
"8",556,2161
"9",266,2481
"10",226,2876
"11",166,2906
"12",126,2896
"13",626,3286
"14",531,3701
"15",131,4161
"16",356,4461
"17",691,4486
"18",706,4406
"19",1426,4991
"20",1666,4881
"21",2276,4371
"22",2156,3951
"23",2586,4046
"24",3016,4466
"25",2786,4821
"26",4141,4621
"27",4411,4491
"28",4891,4146
"29",4441,3391
"30",4581,3146
"31",4486,2601
"32",4201,2296
"33",4131,2186
"34",4881,1471
"35",4791,791
"36",4456,951
"37",4376,891
"38",4211,431
"39",4156,341
"40",3426,381
"41",3021,421
"42",2896,66
"43",2381,781
"44",2831,1521
"45",2746,1891
"46",2611,2166
"47",4136,1406
"48",3661,2646
"49",3586,3096
"50",3336,2826
"51",3071,2796
"52",2701,2471
"53",2336,2341
"54",1571,1721
"55",1226,2466
"56",991,3066
"57",1466,3646
"58",1626,3531
"59",2126,3276
"60",2386,3326
"61",1811,1061
